"IATACode","country","fullName","latitude","longitude","airportName","units","source"
"ADL","Australia","Adelaide International","-34.95","138.53","Adelaide [ADL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ADM","United States","Ardmore Municipal","34.3","-97.02","Ardmore [ADM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ADQ","United States","Kodiak","57.75","-152.49","Kodiak [ADQ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ADW","United States","Andrews Air Force Base","38.81","-76.87","Camp Springs [ADW]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ADX","United Kingdom","Leuchars","56.37","-2.87","Leuchars [ADX]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ADZ","Colombia","Gustavo Rojas Pinilla","12.58","-81.71","San Andres Island [ADZ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AEH","Chad","Abeche","13.85","20.84","Abeche [AEH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AEP","Argentina","Aeroparque Jorge Newbery","-34.56","-58.42","Buenos Aires [AEP]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AER","Russia","Sochi","43.45","39.95","Sochi [AER]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AES","Norway","Vigra","62.56","6.11","Alesund [AES]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AEX","United States","Alexandria International","31.33","-92.55","Alexandria [AEX]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AEY","Iceland","Akureyri","65.66","-18.07","Akureyri [AEY]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AFA","Argentina","San Rafael","-34.59","-68.4","San Rafael [AFA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AFL","Brazil","Alta Floresta","-9.87","-56.11","Alta Floresta [AFL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AFY","Turkey","Afyon","38.73","30.6","Afyon [AFY]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AGA","Morocco","Inezgane","30.38","-9.55","Agadir [AGA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AGB","Germany","Augsburg","48.43","10.93","Augsburg [AGB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AGF","France","La Garenne","44.17","0.59","Agen [AGF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AGH","Sweden","Angelholm","56.3","12.85","Angelholm [AGH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AGP","Spain","Malaga","36.67","-4.5","Malaga [AGP]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AGQ","Greece","Agrinion","38.6","21.35","Agrinion [AGQ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AGR","India","Agra","27.16","77.96","Agra [AGR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AGS","United States","Augusta Regional at Bush Field","33.37","-81.96","Bush Field [AGS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AGU","Mexico","Jesus Teran International","21.71","-102.32","Aguascalientes [AGU]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AGV","Venezuela","Oswaldo Guevara Mujica","9.55","-69.24","Acarigua [AGV]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AGX","India","Agatti","10.82","72.18","Agatti Island [AGX]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AGZ","South Africa","Aggeneys","-29.28","18.81","Aggeneys [AGZ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AHB","Saudi Arabia","Abha","18.24","42.66","Abha [AHB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AHO","Italy","Alghero","40.63","8.29","Alghero [AHO]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AHU","Morocco","Cherif El Idrissi","35.18","-3.84","Al Hociema [AHU]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AIG","Central African Republic","Yalinga","45.15","-89.11","Yalinga [AIG]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AIN","United States","Wainwright As","70.61","-159.86","Fort Wainwright [AIN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AIT","Cook Islands","Aitutaki","-18.83","-159.77","Aitutaki [AIT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AJA","Corsica","Campo Dell Oro","41.92","8.8","Ajaccio [AJA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AJL","India","Aizawl","23.75","92.8","Aizwal [AJL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AJN","Comoros Islands","Anjouan Ouani","-12.13","44.43","Anjouan [AJN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AJO","Saudi Arabia","Al Jouf","29.79","40.1","Al-Jouf [AJO]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AJR","Sweden","Arvidsjaur","65.59","19.28","Arvidsjaur [AJR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AJU","Brazil","Santa Maria","-10.98","-37.07","Aracaju [AJU]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AJY","Niger","Manu Dayak","16.96","8","Agadez [AJY]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AKD","India","Akola","20.7","77.06","Akola [AKD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AKF","Libya","Kufra","24.18","23.31","Kufra [AKF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AKJ","Japan","Asahikawa","43.67","142.45","Asahikawa [AKJ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AKL","New Zealand","Auckland International","-37.01","174.79","Auckland [AKL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AKN","United States","King Salmon","58.68","-156.65","King Salmon [AKN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AKR","Nigeria","Akure","7.25","5.3","Akure [AKR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AKT","Cyprus","Akrotiri","34.59","32.99","Akrotiri [AKT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AKX","Kazakhstan","Aktyubinsk","50.25","57.2","Aktyubinsk [AKX]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AKY","Myanmar (Burma)","Sittwe","20.13","92.87","Sittwe [AKY]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ALA","Kazakhstan","Almaty","43.35","77.04","Alma-Ata [ALA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ALB","United States","Albany International","42.75","-73.8","Albany [ALB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ALC","Spain","Alicante","38.28","-0.56","Alicante [ALC]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ALF","Norway","Alta","69.98","23.37","Alta [ALF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ALG","Algeria","Houari Boumediene","36.69","3.22","Algiers [ALG]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ALI","United States","Alice International","27.74","-98.03","Alice [ALI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ALJ","South Africa","Alexander Bay","-28.58","16.53","Alexander Bay [ALJ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ALL","Italy","Albenga","44.05","8.13","Albenga [ALL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ALP","Syria","Aleppo International","36.18","37.22","Aleppo [ALP]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ALR","New Zealand","Alexandra","-45.21","169.37","Alexandra [ALR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ALY","Egypt","Alexandria International","31.18","29.95","Alexandria [ALY]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AMA","United States","Amarillo International","35.22","-101.71","Amarillo [AMA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AMB","Madagascar","Ambilobe Mahavavy","-13.19","48.99","Ambilobe [AMB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AMD","India","Ahmedabad","23.07","72.63","Ahmedabad [AMD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AMI","Indonesia","Selaparang","-8.56","116.09","Mataram [AMI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AMM","Jordan","Queen Alia International","31.72","35.99","Amman [AMM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AMQ","Indonesia","Pattimura","-3.71","128.09","Ambon [AMQ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AMS","Netherlands","Schiphol","52.31","4.76","Amsterdam [AMS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ANB","United States","Anniston Metropolitan","33.59","-85.86","Anniston [ANB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ANC","United States","Ted Stevens Anchorage International","61.17","-150","Anchorage [ANC]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AND","United States","Anderson Regional","34.5","-82.71","Andersen [AND]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ANF","Chile","Cerro Moreno International","-23.44","-70.45","Antofagasta [ANF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ANG","France","Brie Champniers","45.73","0.22","Angouleme [ANG]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ANK","Turkey","Etimesgut","39.95","32.69","Ankara [ANK]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ANM","Madagascar","Antalaha Antsirabato","-15","50.32","Antalaha [ANM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ANN","United States","Annette Island","55.04","-131.57","Annette Island [ANN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ANR","Belgium","Deurne","51.19","4.46","Antwerp [ANR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ANS","Peru","Andahuaylas","-13.71","-73.35","Andahuaylas [ANS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ANU","Leeward Islands","V C Bird International","17.14","-61.79","Antigua [ANU]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ANX","Norway","Andoya","69.29","16.14","Andoya [ANX]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AOC","Germany","Altenburg Nobitz","50.98","12.51","Altenburg [AOC]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AOJ","Japan","Aomori","40.73","140.69","Aomori [AOJ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AOK","Greece","Karpathos","35.42","27.15","Karpathos [AOK]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AOL","Argentina","Paso De Los Libres","-29.69","-57.15","Paso De Los Libres [AOL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AOO","United States","Altoona Blair County","40.3","-78.32","Altoona [AOO]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AOR","Malaysia","Sultan Abdul Halim","6.19","100.4","Alor Setar [AOR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"APB","Bolivia","Apolo","-14.74","-68.41","Apolo [APB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"APG","United States","Phillips Air Force Base","39.47","-76.17","Aberdeen [APG]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"APL","Mozambique","Nampula","-15.11","39.28","Nampula [APL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"APW","American Samoa","Faleolo International","-13.83","-172.01","Faleolo [APW]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AQA","Brazil","Araraquara","-21.81","-48.13","Araracuara [AQA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AQI","Saudi Arabia","Qaisumah","28.34","46.13","Hafr Al-Batin [AQI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AQJ","Jordan","Aqaba International","29.61","35.02","Aqaba [AQJ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AQP","Peru","Rodriguez Ballon","-16.34","-71.58","Arequipa [AQP]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ARA","United States","Acadiana Regional","30.04","91.88","Louisiana [ARA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ARI","Chile","Chacalluta","-18.35","-70.34","Arica [ARI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ARK","Tanzania","Arusha","-3.37","36.63","Arusha [ARK]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ARN","Sweden","Arlanda","59.65","17.92","Stockholm [ARN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ART","United States","Watertown International","43.99","-76.02","Watertown [ART]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ARU","Brazil","Aracatuba","-21.14","-50.42","Aracatuba [ARU]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ARW","Romania","Arad","46.18","21.26","Arad [ARW]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ASB","Turkmenistan","Ashgabat","37.99","58.36","Ashkhabad [ASB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ASD","Bahamas","Andros Town","24.7","-77.8","Andros Town [ASD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ASF","Russia","Astrakhan","46.28","48.01","Astrakhan [ASF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ASJ","Japan","Amami","28.43","129.71","Amami [ASJ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ASK","Ivory Coast","Yamoussoukro","6.9","-5.37","Yamoussoukro [ASK]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ASM","Eritrea","Asmara International Airport","15.29","38.91","Asmara [ASM]","degrees N and E","amee/defra 2008"
"ASP","Australia","Alice Springs","-23.81","133.9","Alice Springs [ASP]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ASR","Turkey","Erkilet","38.77","35.5","Kayseri [ASR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ASU","Paraguay","Silvio Pettirossi International","-25.24","-57.52","Asuncion [ASU]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ASW","Egypt","Aswan International","23.96","32.82","Aswan [ASW]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ATA","Peru","Commandante Fap German Arias Grazziani","-9.35","-77.6","Anta [ATA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ATF","Ecuador","Chachoan","-1.21","-78.57","Ambato [ATF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ATH","Greece","Eleftherios Venizelos International","37.9","23.73","Athens [ATH]","degrees N and E","http://www.convertunits.com/distance/airport/"
"ATI","Uruguay","Artigas International","-30.4","-56.51","Artigas [ATI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ATL","United States","The William B Hartsfield Atlanta International","33.64","-84.43","Atlanta [ATL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ATM","Brazil","Altamira","-3.25","-52.25","Altamira [ATM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ATQ","India","Amritsar","31.71","74.8","Amritsar [ATQ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ATR","Mauritania","Atar","20.51","-13.04","Atar [ATR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AUA","Aruba","Reina Beatrix International","12.5","-70.02","Oranjestad [AUA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AUC","Colombia","Santiago Perez","7.07","-70.74","Arauca [AUC]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AUF","France","Branches","47.85","3.5","Auxerre [AUF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AUG","United States","Augusta State","44.32","-69.8","Augusta [AUG]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AUH","United Arab Emirates","Abu Dhabi International","24.43","54.65","Abu Dhabi [AUH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AUR","France","Aurillac","44.89","2.42","Aurillac [AUR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AUS","United States","Austin Bergstrom International","30.19","-97.67","Austin [AUS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AVB","Italy","Aviano Ab","46.03","12.6","Aviano [AVB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AVI","Cuba","Maximo Gomez","22.03","-78.79","Ciego De Avila [AVI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AVN","France","Caumont","43.91","4.9","Avignon [AVN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AVV","Australia","Avalon","-38.04","144.47","Avalon [AVV]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AWZ","Iran","Ahwaz","31.34","48.76","Ahwaz [AWZ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AXA","Anguilla Islands","Wallblake","18.2","-63.06","The Valley [AXA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AXD","Greece","Dimokritos","40.86","25.96","Alexandroupolis [AXD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AXM","Colombia","El Eden","4.45","-75.77","Armenia [AXM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AXP","Bahamas","Spring Point","22.44","-73.97","Spring Point [AXP]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AXR","Tuamotu Islands","Arutua","-15.25","-146.62","Arutua [AXR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AXT","Japan","Akita","39.62","140.22","Akita [AXT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AYP","Peru","Coronel Fap Alfredo Mendivil Duarte","-13.15","-74.2","Ayacucho [AYP]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AYT","Turkey","Antalya","36.9","30.79","Antalya [AYT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AZD","Iran","Yazd Shahid Sadooghi","31.9","54.28","Yazd [AZD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AZI","United Arab Emirates","Bateen","24.43","54.46","Abu Dhabi [AZI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AZR","Algeria","Touat Cheikh Sidi Mohamed Belkebir","27.84","-0.19","Adrar [AZR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BAB","United States","Beale Air Force Base","39.14","-121.44","Marysville [BAB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BAD","United States","Barksdale Air Force Base","32.5","-93.66","Shreveport [BAD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BAG","Philippines","Baguio","16.38","120.62","Baguio [BAG]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BAH","Bahrain","Bahrain International","26.27","50.63","Bahrain [BAH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BAK","Azerbaijan","Bina","40.47","50.05","Baku [BAK]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BAL","Turkey","Batman","37.93","41.12","Batman [BAL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BAQ","Colombia","Ernesto Cortissoz","10.89","-74.78","Barranquilla [BAQ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BAU","Brazil","Bauru","-22.35","-49.05","Bauru [BAU]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BAX","Russia","Barnaul","53.36","83.54","Barnaul [BAX]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BAY","Romania","Tautii Magheraus","47.66","23.47","Baia Mare [BAY]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BBA","Chile","Balmaceda","-45.92","-71.69","Balmaceda [BBA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BBI","India","Bhubaneshwar","20.24","85.82","Bhubaneswar [BBI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BBJ","Germany","Bautzen","51.19","14.52","Bautzen [BBJ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BBK","Botswana","Kasane","-17.83","25.16","Kasane [BBK]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BBO","Somalia","Berbera","10.39","44.94","Berbera [BBO]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BBS","United Kingdom","Blackbushe","51.32","-0.85","Blackbushe [BBS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BBT","Central African Republic","Berberati","4.22","15.79","Berberati [BBT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BBU","Romania","Baneasa","44.5","26.1","Bucharest [BBU]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BBY","Central African Republic","Bambari","5.85","20.65","Bambari [BBY]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BCA","Cuba","Gustavo Rizo","20.37","-74.51","Baracoa Playa [BCA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BCD","Philippines","Bacolod","10.64","122.93","Bacolod [BCD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BCM","Romania","Bacau","46.52","26.91","Bacau [BCM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BCN","Spain","Barcelona","41.3","2.08","Barcelona [BCN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BCT","United States","Boca Raton","26.38","-80.11","Boca Raton [BCT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BDE","United States","Baudette International","48.73","-94.61","Baudette [BDE]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BDH","Iran","Bandar Lengeh","26.53","54.82","Bandar Lengeh [BDH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BDJ","Indonesia","Syamsudin Noor","-3.44","114.76","Banjarmasin [BDJ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BDL","United States","Bradley International","41.94","-72.68","Windsor Locks [BDL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BDM","Turkey","Bandirma","40.32","27.98","Bandirma [BDM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BDN","Pakistan","Talhar","24.84","68.84","Talhar [BDN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"BDO","Indonesia","Husein Sastranegara","-6.9","107.58","Bandung [BDO]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
