"productCategory","sicCode","kgCO2PerPound","kgCH4PerPound","kgN2OPerPound","kgHFCPerPound","kgPFCPerPound","kgSF6PerPound","units","source"
"office machinery and computers",30,0.631688827,0.047342284,0.019064473,0.042686317,0.009407127,0.005136817,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"electrical machinery",31,0.750356471,0.049064551,0.017747665,0.028075668,0.010050273,0.014715671,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"radio and television and communications",32,0.366626291,0.030527765,0.012149663,0.037679709,0.006411672,0.002951462,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"medical and precision instruments",33,0.441046645,0.033304915,0.012820111,0.036830924,0.013078064,0.004579622,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"motor vehicles ",34,0.801251997,0.05172955,0.01967103,0.016590393,0.007512141,0.007164723,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"other transport equipment",35,0.600370124,0.041463718,0.012846086,0.009987443,0.004590648,0.003875106,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"furniture and other manufactured goods and recycling services","36 and 37",0.518359726,0.037363461,0.016405328,0.010000815,0.001210135,0.000983626,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"mains electricity",40.1,6.186944023,0.249355201,0.047514351,0.005839538,0.000611434,0.012696512,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"mains gas","40.2 and 40.3",2.723243788,0.507523255,0.021987392,0.005800085,0.000935595,0.004953134,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"mains water ",41,0.642161984,0.040815419,0.012004439,0.008651203,0.001078147,0.00126624,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"construction",45,0.489029205,0.039852347,0.016134914,0.008281549,0.001432885,0.001326321,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"motor vehicle distribution and repair, automotive fuel retail",50,0.773796228,0.074134686,0.029322271,0.020267506,0.003838144,0.003200724,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"wholesale distribution",51,0.497832827,0.096661304,0.053905643,0.011789528,0.001850059,0.001266177,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"retail distribution",52,0.324124689,0.05687607,0.028349782,0.028212667,0.000942825,0.000751352,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"hotels and  catering and pubs etc",55,0.380173014,0.116621874,0.088704288,0.008940335,0.001021148,0.000868683,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"railway transport",60.1,0.96229149,0.074269053,0.060493754,0.009505584,0.001455412,0.001353581,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"road transport",60.2,1.083795079,0.074964921,0.018821669,0.009893879,0.001098576,0.000931222,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"water transport",61,2.514290431,0.081591313,0.03164525,0.005358423,0.001096881,0.000817477,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"air transport",62,3.205813541,0.11202331,0.041184264,0.007635909,0.001294289,0.00096172,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"ancillary transport services",63,0.32609445,0.034505744,0.014288199,0.007311795,0.000973402,0.000660016,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"post and telecommunications",64,0.557240304,0.046142641,0.017512496,0.085858214,0.012381256,0.004260674,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"banking and finance",65,0.181361984,0.020070308,0.00668143,0.004951035,0.000678124,0.000388826,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"insurance and pension funds",66,0.30478367,0.032336488,0.011648855,0.009592609,0.001324517,0.000776021,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"auxiliary financial services",67,0.241360246,0.026310672,0.008999844,0.010232647,0.001349003,0.000732615,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"real estate activities",70,0.101205211,0.012512552,0.006316244,0.002583107,0.000343034,0.000256492,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"renting of machinery etc",71,0.404979228,0.067836312,0.015276437,0.009393037,0.001451028,0.001151638,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"computer services",72,0.226689359,0.032214533,0.01116418,0.008760585,0.001431165,0.00078129,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"research and development",73,0.461099512,0.071564408,0.03066577,0.013893648,0.002370181,0.001072837,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"legal and consultancy and other business activities",74,0.171589899,0.021419417,0.007479756,0.00610661,0.000772374,0.000456817,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"public admininstration and defence",75,0.388748491,0.042547075,0.013812529,0.010543447,0.002821768,0.001543357,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"education",80,0.210393217,0.046020958,0.024449227,0.00547392,0.000534292,0.000427453,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"health and social work",85,0.331188777,0.051468396,0.02386129,0.014162933,0.002699161,0.000973679,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"sewage and refuse services",90,0.474787753,1.416852281,0.096025672,0.011588371,0.001100912,0.012165195,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"services from membership organisations",91,0.16593055,0.020949804,0.010554816,0.005713864,0.000445033,0.000320681,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"recreational services",92,0.252811165,0.045945847,0.02688622,0.007006605,0.000822874,0.00054246,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"other service activities",93,0.299660552,0.050835736,0.014954774,0.01084474,0.000961586,0.000814883,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
