manufacturer,model,description,transmission,engineCapacity,fuelType,kgCO2PerKm,source,algorithm
AUDI,A3 (from NOV 06 Wk 45 >) ,1.9 TDI 105ps Sport,M5,1896,Diesel,0.138,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.9 TDI 105ps Special Edition,M5,1896,Diesel,0.138,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 140ps SE ,M6,1968,Diesel,0.146,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 140ps Standard,M6,1968,Diesel,0.146,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 140ps Sport,M6,1968,Diesel,0.146,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 140ps S-line,M6,1968,Diesel,0.146,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 140ps S-Tronic SE,D6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 140ps S Tronic Standard,D6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 140ps S Tronic Sport,D6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 140ps S Tronic S-line,D6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 170ps SE with DPF,M6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 170ps Standard with DPF,M6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 170ps Sport with DPF,M6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 170ps S-line with DPF,M6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 170ps S-Tronic SE with DPF,D6,1968,Diesel,0.156,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 170ps S Tronic Standard with DPF,D6,1968,Diesel,0.156,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 170ps S Tronic Sport with DPF,D6,1968,Diesel,0.156,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 170ps S Tronic S-line with DPF,D6,1968,Diesel,0.156,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 170ps quattro Sport with DPF,QM6,1968,Diesel,0.173,http://www.vcacarfueldata.org.uk/downloads/latest.asp 27 March 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TDI 170ps quattro S-line with DPF,QM6,1968,Diesel,0.173,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.6 102ps SE  ,M5,1595,Petrol,0.171,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 March 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.6 102ps Standard,M5,1595,Petrol,0.171,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.6 102ps Sport,M5,1595,Petrol,0.171,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.6 102ps Special Edition,M5,1595,Petrol,0.171,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.6 102ps Tiptronic SE,A6,1595,Petrol,0.183,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.6 102ps Tiptronic Standard,A6,1595,Petrol,0.183,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.6 102ps Tiptronic Sport,A6,1595,Petrol,0.183,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.6 102ps Tiptronic Special Edition,A6,1595,Petrol,0.183,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.6 FSI 115ps SE,M6,1598,Petrol,0.158,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 March 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.6 FSI 115ps Standard,M6,1598,Petrol,0.158,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.6 FSI 115ps Sport,M6,1598,Petrol,0.158,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.6 FSI 115ps S-line,M6,1598,Petrol,0.158,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.8 TFSI 160ps SE,M6,1781,Petrol,0.174,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.8 TFSI 160ps Standard,M6,1781,Petrol,0.176,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.8 TFSI 160ps Sport,M6,1781,Petrol,0.176,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.8 TFSI 160ps S-line,M6,1781,Petrol,0.176,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.8 TFSI 160ps S-Tronic SE ,D6,1781,Petrol,0.179,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.8 TFSI 160ps S-Tronic Standard,D6,1781,Petrol,0.179,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.8 TFSI 160ps S-Tronic Sport,D6,1781,Petrol,0.179,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.8 TFSI 160ps S-Tronic S-line,D6,1781,Petrol,0.176,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 FSI 150ps SE,M6,1984,Petrol,0.177,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 FSI 150ps Sport,M6,1984,Petrol,0.177,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 FSI 150ps S-line,M6,1984,Petrol,0.177,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 FSI 150ps Tiptronic SE,A6,1984,Petrol,0.192,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 FSI 150ps Tiptronic Sport,A6,1984,Petrol,0.194,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 FSI 150ps Tiptronic S-line,A6,1984,Petrol,0.194,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TFSI 200ps SE ,M6,1984,Petrol,0.186,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TFSI 200ps Sport,M6,1984,Petrol,0.189,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TFSI 200ps S-line,M6,1984,Petrol,0.189,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TFSI 200ps S-Tronic SE,D6,1984,Petrol,0.184,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TFSI 200ps S-Tronic Sport,D6,1984,Petrol,0.184,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TFSI 200ps S-Tronic S-line,D6,1984,Petrol,0.184,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TFSI 200ps quattro Sport ,QM6,1984,Petrol,0.209,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TFSI 200ps quattro S-line,QM6,1984,Petrol,0.212,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,3.2 V6 250ps quattro Sport,QM6,3189,Petrol,0.250,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,3.2 V6 250ps quattro S-line,QM6,3189,Petrol,0.250,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,3.2 V6 250ps quattro S-Tronic Sport,QD6,3189,Petrol,0.226,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,3.2 V6 250ps quattro S Tronic S-line,QD6,3189,Petrol,0.228,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.9 TDI 105ps SE,M5,1896,Diesel,0.138,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.9 TDI 105ps Standard,M5,1896,Diesel,0.138,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.9 TDI 105ps Sport,M5,1896,Diesel,0.138,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.9 TDI 105ps Special Edition,M5,1896,Diesel,0.138,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 140ps SE,M6,1968,Diesel,0.146,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 140ps Standard,M6,1968,Diesel,0.146,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 140ps Sport,M6,1968,Diesel,0.146,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 140ps S-line,M6,1986,Diesel,0.146,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 140ps S-Tronic SE,D6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 140ps S-Tronic Standard,D6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 140ps S-Tronic Sport,D6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 140ps S-Tronic S-line,D6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 170ps SE with DPF,M6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 170ps Standard with DPF,M6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 170ps Sport with DPF,M6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 170ps S-line with DPF,M6,1968,Diesel,0.154,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 170ps S-Tronic SE with DPF,D6,1968,Diesel,0.156,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 170ps S-Tronic Standard with DPF,D6,1968,Diesel,0.156,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 170ps S-Tronic Sport with DPF,D6,1968,Diesel,0.156,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 170ps S-Tronic S-line with DPF,D6,1968,Diesel,0.156,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 170ps quattro Sport with DPF,QM6,1968,Diesel,0.173,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),2.0 TDI 170ps quattro S-line with DPF,QM6,1968,Diesel,0.173,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.6 102ps SE,M5,1595,Petrol,0.171,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.6 102ps Standard,M5,1595,Petrol,0.171,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.6 102ps Sport,M5,1595,Petrol,0.171,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.6 102ps Special Edition,M5,1595,Petrol,0.171,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.6 102ps Tiptronic SE,A6,1595,Petrol,0.183,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.6 102ps Tiptronic Standard,A6,1595,Petrol,0.183,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.6 102ps Tiptronic Sport,A6,1595,Petrol,0.183,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.6 102ps Tiptronic Special Edition,A6,1595,Petrol,0.183,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.6 FSI 115ps SE,M6,1598,Petrol,0.158,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.6 FSI 115ps Standard,M6,1598,Petrol,0.158,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.6 FSI 115ps Sport,M6,1598,Petrol,0.158,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.6 FSI 115ps S-line,M6,1598,Petrol,0.158,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.8 TFSI 160ps SE,M6,1781,Petrol,0.176,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.8 TFSI 160ps Standard,M6,1781,Petrol,0.176,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.8 TFSI 160ps Sport,M6,1781,Petrol,0.176,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.8 TFSI 160ps S-line,M6,1781,Petrol,0.176,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 Sportback (from NOV 06 Wk 45 >),1.8 TFSI 160ps S-Tronic SE,D6,1781,Petrol,0.179,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
