"country","kgCO2PerKWh","units","source","algorithm"
"Jamaica",0.794,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Japan",0.441,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Jordan",0.64,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Kazakhstan",1.116,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Kenya",0.194,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Dem. People's Republic of Korea",0.542,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Korea",0.437,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Kuwait",0.663,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Kyrgyzstan",0.084,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Latvia",0.181,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Lebanon",0.709,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Libya",0.979,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Lithuania",0.121,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Luxembourg",0.325,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Malaysia",0.492,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Malta",0.814,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Mexico",0.576,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Morocco",0.736,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Mozambique",0.003,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Myanmar",0.368,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Namibia",0.028,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Nepal",0.001,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Netherlands",0.466,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Netherlands Antilles",0.719,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"New Zealand",0.178,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Nicaragua",0.559,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Nigeria",0.446,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Norway",0.009,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Oman",0.854,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Pakistan",0.37,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Panama",0.356,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Paraguay",0,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Peru",0.148,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Philippines",0.46,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Poland",0.662,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Portugal",0.414,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Qatar",0.779,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Republic of Moldova",0.756,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Romania",0.451,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Russia",0.329,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Saudi Arabia",0.749,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Senegal",0.594,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Serbia/Montenegro",0.766,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Singapore",0.562,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Slovak Republic",0.255,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Slovenia ",0.363,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"South Africa",0.853,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Spain",0.381,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Sri Lanka",0.407,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Sudan",0.743,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Sweden",0.059,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Switzerland",0.03,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Syria",0.583,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Tajikistan",0.027,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"United Republic of Tanzania",0.095,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Thailand",0.528,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Togo",0.175,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Trinidad and Tobago",0.731,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Tunisia",0.554,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Turkey",0.496,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Turkmenistan",0.795,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Ukraine",0.341,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"United Arab Emirates",0.781,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"United Kingdom","0.5406","kgCO2/kWh","http://www.defra.gov.uk/environment/business/reporting/pdf/20090717-guidelines-ghg-conversion-factors.xls","value*user_electricity_kWh"
"United States",0.659,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Uruguay",0.002,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Former USSR",0.347,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Uzbekistan",0.468,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Venezuela",0.245,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Vietnam",0.375,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Yemen",0.885,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Former Yugoslavia",0.602,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Zambia",0.006,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Zimbabwe",0.516,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Other Africa",0.537,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Other Latin America",0.591,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Other Asia",0.272,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"World",0.501,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"OECD Total",0.467,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Non-OECD Total",0.538,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"IEA Total",0.461,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"European Union - 15",0.361,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"European Union - 25",0.386,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Africa",0.643,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Middle East",0.693,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Former USSR",0.347,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Latin America",0.189,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Asia (excluding China)",0.71,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"China (including Hong Kong)",0.772,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
