"type","section","useOR","condition1","condition2","condition3","content","icon","isWellDone","carbonSaving","briefTipContent","individualSavingPerYear","countryWideSavingPerYear","cost","links","easiestToDo","saveYouMoney","units","source","algorithm","default"
"no solid wall insulation","home","FALSE","!/home/energy/insulation:type=solid wall","/home/heating:homeDwellingType=*house*%7C*bungalow*%7C*maisonette*%26homeAge=pre 1930",,"The facts
If your walls aren't insulated, heat could be seeping out of them, which means you're paying for heating that you'll quickly lose. Although insulating your solid walls will be an expense at the start, it's an investment in the value of your house, and with every year that passes it will be saving you money on heating - up to %A3500 a year if you live in a large detached house.

What you can do
Have you considered solid wall insulation for your external walls? This can be fitted on the inside or the outside and can drastically reduce heat lost through the walls. The work can be carried out at any time, but it's particularly worth considering if you're going to be doing some renovation or redecorating.","solid wall insulation","FALSE","High","Consider having solid wall insulation fitted, if you are renovating your home.","%A3500","no",,"&lt;link&gt;&lt;linktext&gt;For more information on solid wall insulation click here  &lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/home_improvements/home_insulation_glazing/solid_wall_insulation&lt;/linkurl&gt;&lt;/link&gt;","low","high",,"defra 2008",,
"has solid wall insulation","home","FALSE","/home/energy/insulation:type=solid wall",,,"Great news
If you've already installed solid wall insulation, then it's probably saving you up to 2.5 tonnes of CO2 a year. Your heating bills would be a lot higher without it.",,"TRUE",,,,,,,,,,"defra 2008",,
"no cavity insulation","home","FALSE","!/home/energy/insulation:type=cavity","/home/heating:homeDwellingType=*house*%7C*bungalow*%7C*maisonette*%26homeAge=1930-1995",,"The Facts
Around a third of all the heat lost in an un-insulated home escapes through the walls. 

What you can do
You probably have cavity walls.  If so, insulating them will make a great diffrence to keeping your home nice and warm, as well as reducing carbon emissions.  In fact for an average 3-bed semi-detached house this is likely to save around 800 kgs of CO2 per year.","cavity wall insulation","FALSE","High","Fill your cavity walls and save 720kg carbon dioxide / year","%A3145",,,"&lt;link&gt;&lt;linktext&gt;For more information on cavity wall insulation click here:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/home_improvements/home_insulation_glazing/cavity_wall_insulation&lt;/linkurl&gt;&lt;/link&gt;","medium","high",,"defra 2008",,
"no cavity wall insulation 2","home","FALSE","!/home/energy/insulation:type=cavity","/home/heating:homeDwellingType=*house*%7C*bungalow*%7C*maisonette*%26homeAge=pre 1930",,"The facts
If your walls aren't insulated, heat could be seeping out of them, which means you're paying for heating that you'll quickly lose. Although insulating your solid walls will be an expense at the start, it's an investment in the value of your house, and with every year that passes it will be saving you money on heating - up to %A3500 a year if you live in a large detached house.

What you can do
Have you considered solid wall insulation for your external walls? This can be fitted on the inside or the outside and can drastically reduce heat lost through the walls. The work can be carried out at any time, but it's particularly worth considering if you’re going to be doing some renovation or redecorating.","solid wall insulation","FALSE","High","Consider having solid wall insulation fitted, if you are renovating your home.",,,,"&lt;link&gt;&lt;linktext&gt;Do you have solid walls%3F Find out how you can insulate them:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/home_improvements/home_insulation_glazing/solid_wall_insulation&lt;/linkurl&gt;&lt;/link&gt;","low","high",,"defra 2008",,
"has cavity insulation","home","FALSE","/home/energy/insulation:type=cavity",,,"Great news
If you've already insulated your walls, you're already typically saving 720kg of CO2 each year. Your heating bills would also be much higher without this insulation.","Yes","TRUE",,,,,,"&lt;link&gt;&lt;linktext&gt;Find out about other ways of insulating your home:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/home_improvements/home_insulation_glazing/loft_insulation&lt;/linkurl&gt;&lt;/link&gt;",,,,"defra 2008",,
"no under floor insulation","home","FALSE","!/home/energy/insulation:type=under floor",,,"The facts 
Many older properties were built with suspended wooden floors, meaning that there is a gap between the ground under the house and the surface that you walk on. This space is full of cold air and so can often be a source of cold draughts in your home.

What you can do
If you don't have a fitted carpet, make sure there aren't any big cracks in the floorboards to let cold draughts in. And whether you have fitted carpets or not, you might also like to invest in some under floor insulation. There will be a specialist in your area who can do this for you, so it's something to consider if you?re doing some renovating or redecorating.  You?ll soon notice a change in temperature, and for the average 3-bed semi-detached house the CO2 emissions could be reduced by around 250kg per year.","floor insulation","FALSE","Medium","Install underfloor heating and save 250kg carbon dioxide / year","%A350",,"lots","&lt;link&gt;&lt;linktext&gt;Click here to find out more about floor insulation:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/home_improvements/home_insulation_glazing/floor_insulation&lt;/linkurl&gt;&lt;/link&gt;","Low","medium",,"defra 2008",,
"has under floor insulation","home","FALSE","/home/energy/insulation:type=under floor",,,"Great news 
If you've already installed under floor insulation, this measure means you're already saving around 250kg of CO2 each year",,"TRUE",,,,,,"&lt;link&gt;&lt;linktext&gt;Find out about other ways of insulating your home:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/home_improvements/home_insulation_glazing/loft_insulation&lt;/linkurl&gt;&lt;/link&gt;&lt;link&gt;&lt;linktext&gt;Take control of your heating, find out more about heating controls:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/home_improvements/heating_and_hot_water/heating_controls&lt;/linkurl&gt;&lt;/link&gt;",,,,"defra 2008",,
"no double glazing","home","FALSE","!/home/energy/insulation:type=double glazing",,,"The facts 
Heat from your home can be lost through old single glazed windows - in fact around 20% can escape through them, leaving you with a bigger heating bill and possibly a chilly home

What you can do 
A quick and effective solution, at least for the winter, is to put up some double glazing film. Have a look for it in your local DIY store or online. A more permanent solution to getting a warmer home is to install glass or Perspex double glazing. By fitting the minimum 'C' rating Energy Saving Recommended (ESR) windows in place of standard windows, the CO2 emissions from the average 3-bed semi-detached house can be cut by around 710kg per year.","double glazing","FALSE","High","Double glaze your windows and save 710kg carbon dioxide / year","%A3140",,,"&lt;link&gt;&lt;linktext&gt;Reduce your CO2 emissions with double glazing:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/home_improvements/home_insulation_glazing/glazing&lt;/linkurl&gt;&lt;/link&gt;","low","high",,"defra 2008",,
"has double glazing","home","FALSE","/home/energy/insulation:type=double glazing",,,"Great news 
If you've already installed Energy Saving Recommended double glazing, that means you're already saving around 710kg of CO2 each year. Just make sure your doors and windows are properly draught-proofed too!",,"TRUE",,,,,,"&lt;link&gt;&lt;linktext&gt;Have you thought about other ways of insulating your home%3F Click here to find out more:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/home_improvements/home_insulation_glazing&lt;/linkurl&gt;&lt;/link&gt;",,,,"defra 2008",,
"no draught proofing","home","FALSE","!/home/energy/insulation:type=draft exclusion",,,"The facts 
If you can feel cold drafts around your windows and doors, it's likely you've got small gaps around their edges that need attention? Blocking up? These small gaps not only allow cold air in, but also let warm air escape, making your home colder than it need be.

What you can do
Draught proofing is one of the simplest and cheapest forms of insulating your home, and can make a big difference to how cosy it feels - and all houses can benefit! A wide range of suitable products are available in DIY stores and they take just a few minutes to apply. Draugh-proofing your windows and doors will improve the temperature of your home, save you money and reduce your CO2 emissions by around 150kg per year.","draught proofing","FALSE","Medium","Fit draught-proofing around doors and windows","%A330",,"Professional: %A3200DIY: %A390","&lt;link&gt;&lt;linktext&gt;Find out more about draught proofing  &lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/home_improvements/home_insulation_glazing/draught_proofing&lt;/linkurl&gt;&lt;/link&gt;","high","low",,"defra 2008",,
"has draught proofing","home","FALSE","/home/energy/insulation:type=draft exclusion",,,"Great news 
If you've already draught-proofed your home by insulating your doors and windows, then you're saving around 150 kg of CO2 every year",,"TRUE",,,,,,"&lt;link&gt;&lt;linktext&gt;Have you thought about other ways of insulating your home%3F Click to find out more:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/home_improvements/home_insulation_glazing &lt;/linkurl&gt;&lt;/link&gt;",,,,"defra 2008",,
"few lel bulbs","home","FALSE","/home/lighting:type=normal:noOfLightBulbs:GREATER:/home/lighting:type=lel:noOfLightBulbs*9",,,"The facts
An average household spends around 20% of its electricity budget on lighting. Using low energy lighting can reduce the amount of energy used in lighting your home by up to 80%.

What you can do
The easiest thing is of course to make sure you turn off lights when you leave the room! But the next step is to replace all bulbs in your house with low energy ones. You can buy them from your local supermarket or DIY store for just a few pounds, and best of all, they?ll last up to 10 times longer than standard light bulbs.","enrgy saving lightbulb","FALSE","Medium","Fit energy efficient lightbulbs in your most used fittings","%A350",,,"&lt;link&gt;&lt;linktext&gt;Read more about energy saving lighting:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/energy_saving_products/types_of_energy_saving_recommended_products/lightbulbs_and_fittings&lt;/linkurl&gt;&lt;/link&gt;","high","high",,"defra 2008",,
"majority lel bulbs","home","FALSE","/home/lighting:type=lel:noOfLightBulbs:GREATER:/home/lighting:type=normal:noOfLightBulbs",,,"Great news 
By replacing over half the bulbs in your home to energy saving ones you're already saving over %A328 a year and over 90kg CO2 - or as much as %A356 and 190kg CO2 if you've replaced them all.

Just make sure your lights are always switched off when nobody is using the room!",,"TRUE",,,,,,"&lt;link&gt;&lt;linktext&gt;Click here for 10 quick and simple energy saving measures:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/What-can-I-do-today/Getting-started&lt;/linkurl&gt;&lt;/link&gt;",,,,"defra 2008",,
"some lel bulbs","home","FALSE","!/home/lighting:type=lel:noOfLightBulbs:GREATER:/home/lighting:type=normal:noOfLightBulbs","!/home/lighting:type=normal:noOfLightBulbs:GREATER:/home/lighting:type=lel:noOfLightBulbs*9",,"Great news 
You're already saving energy by replacing some of the bulbs in your home to energy saving versions. Why not swap a few more bulbs now and you could save even more CO2.

And of course make sure your lights are always switched off when nobody is using the room!","lightbulb","FALSE","Low","You've changed a few bulbs to energy saving ones, why not change the rest too%3F","%A339",,,,"high","medium",,"defra 2008",,
"all lel bulbs","home","FALSE","/home/lighting:type=normal:noOfLightBulbs=0",,,"Great news 
If you've replaced all the bulbs in your house to energy saving versions then you've already saved %A356 and 190kg CO2 this year! 
Now all you need to do to save money and save energy is to make sure you remember to turn them off when you leave the room",,"TRUE",,"Always turn off the light when you leave a room","%A33",,,"&lt;link&gt;&lt;linktext&gt;Click here for 10 quick and simple energy saving measures:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/What-can-I-do-today/Getting-started&lt;/linkurl&gt;&lt;/link&gt;",,,,"defra 2008",,
"no real time display","home","FALSE","/metadata/actonco2:type=normal:realTimeDisplay=no",,,"The facts
A 'Real Time Display' (sometimes called a 'wireless energy monitor')  is a small digital display that can talk to your electricity meter and give you an up-to-the-minute display of your electricity consumption.  It will  show you which appliances are using the most energy and can help you  cut out waste. 

What you can do
Think about getting a 'Real Time Display' so you can see how much electricity you are using Some manufacturers claim that keeping an eye on your consumption in this way can result in savings of as much as 20%, although the amount you manage will depend on your circumstances and how you decide to use the display. If you want to get hold of one then try looking on the internet. You may also be able to get one from your electricity supplier.","realtime_display.swf","FALSE","low","Why don't you monitor your electricity use",,,,"No","high","low",,"defra 2008",,
"any old appliance","appliances","FALSE","/home/appliances/kitchen/generic:device=*e*%26age=over 12 years",,,"The facts
The appliances in our homes can contribute a significant amount to our household CO2 emissions. As some of your appliances are over 12 years old they could be emitting more CO2 than you think and costing you more than they need to. 

What you can do 
If you’re buying or replacing appliances, make sure the new ones are Energy Saving Recommended (ESR). ESR approved appliances are always the most energy efficient in their class and are readily available; just visit your local electrical store and they’ll be able to recommend the best options for you.","new_appliances.swf","FALSE","Medium","Replace old appliances and save money on runing costs","%A339",,,,"medium","high",,"defra 2008",,
"any plus cold appliance","appliances","FALSE","/home/appliances/kitchen/generic:device=Fridge|Fridge/Freezer|Chest/upright Freezer%26rating=A+|A++",,,"Great news
If you’ve already bought an Energy Saving Recommended (ESR) cold appliance, you’re already saving up to 137kg of CO2 each year compared to a non-ESR model.",,"TRUE",,,,,,"&lt;link&gt;&lt;linktext&gt;Find other energy efficient products:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/energy_saving_products/types_of_energy_saving_recommended_products  &lt;/linkurl&gt;&lt;/link&gt;",,,,"defra 2008",,
"any bad cold appliances","appliances","TRUE","/home/appliances/kitchen/generic:device=Fridge|Fridge/Freezer|Chest/upright Freezer%26rating=C|D|E|F|G|Other","/home/appliances/kitchen/generic:device=*e*%26age=over 12 years",,"The facts
The appliances in our homes can contribute a significant amount to our household CO2 emissions. As some of your appliances are over 12 years old they could be emitting more CO2 than you think and costing you more than they need to. 
What you can do 
If you?re buying or replacing appliances, make sure the new ones are Energy Saving Recommended (ESR). ESR approved appliances are always the most energy efficient in their class and are readily available; just visit your local electrical store and they?ll be able to recommend the best options for you.","new_appliances.swf","FALSE","Medium","Replace old appliances and save money on running costs","%A339",,,"&lt;link&gt;&lt;linktext&gt;Click here to read more about energy efficient refrigeration:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/energy_saving_products/types_of_energy_saving_recommended_products/refrigeration_products &lt;/linkurl&gt;&lt;/link&gt;","medium","medium",,"defra 2008",,
"old fridge","appliances","FALSE","/home/appliances/kitchen/generic:device=Fridge%26age=over 12 years",,,"The facts
Your fridge is one of the biggest energy users in your house as it’s on the go 24 hours a day, 7 days a week. 
If everyone in the UK swapped to an Energy Saving Recommended (ESR) version we could save around £800 million and 2.8 million tonnes CO2.

What you can do
Simply upgrading to an ESR fridge appliance could cut your CO2 emissions by around 48kg per year and save you around £13.","new_fridge.swf","FALSE","Low",,"%A339",,,"&lt;link&gt;&lt;linktext&gt;Energy Saving Recommended products are the most efficient in their category, click here to find one:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/energy_saving_products  &lt;/linkurl&gt;&lt;/link&gt;","medium","high",,"defra 2008",,
"old freezer","appliances","FALSE","/home/appliances/kitchen/generic:device=*upright Freezer*%26age=over 12 years",,,"The facts

Your freezer is one of the biggest energy consumers in your house as it?s on the go 24 hours a day, 7 days a week. 
If everyone in the UK swapped to an Energy Saving Recommended (ESR) version we could save around �800 million and 2.8 million tonnes CO2.

What you can do

Have you ever thought about replacing your old freezer with a new ESR model? It could save around 50% of the energy you are using, 85kg of CO2 per year and will also reduce your electricity bill.","freezer","FALSE","Low",,"%A323",,,"&lt;link&gt;&lt;linktext&gt;Energy Saving Recommended products are the most efficient in their category, click here to find one:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/energy_saving_products  &lt;/linkurl&gt;&lt;/link&gt;","medium","medium",,"defra 2008",,
"old fridge freezer","appliances","FALSE","/home/appliances/kitchen/generic:device=*Fridge/Freezer*%26age=over 12 years",,,"The facts
Your fridge-freezer is one of the biggest energy consumers in your house as it's on the go 24 hours a day, 7 days a week. 
If everyone in the UK swapped to an Energy Saving Recommended (ESR) version we could save around ?800 million and 2.8 million tonnes CO2.

What you can do
Have you thought about replacing your old fridge-freezer with a new Energy Saving Recommended model?  It could save around 50% of the energy used by your old appliance, cut 143kg of CO2 per year and could reduce your electricity bill.

If you are in the market for a new fridge-freezer, it pays to be wary of frost-free fridge-freezers as they generally use up to 50% more energy to run than non-frost free versions.","fridge freezer","FALSE","Medium","Consider replacing your fridge-freezer with a more efficient model","%A339",,,"&lt;link&gt;&lt;linktext&gt;Energy Saving Recommended products are the most efficient in their category, click here to find one:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/energy_saving_products  &lt;/linkurl&gt;&lt;/link&gt;","high","med",,"defra 2008",,
"has microwave","appliances","FALSE","!/home/appliances/kitchen/generic:device=microwave%26rating=-age=-%26temperature=-:name=none",,,"The facts
Microwaves are now a staple in many UK kitchens. Besides being very convenient, they’re also more energy efficient than a traditional oven as they cook food much more quickly.

What you can do
If you already own a microwave try to use it instead of your oven or hob wherever possible –the instruction manual for your microwave will have guidelines on how to get the most out of it.",,"TRUE",,"Consider using your microwave more frequently",,"no","no",,,,,"defra 2008",,
"no microwave","appliances","FALSE","/home/appliances/kitchen/generic:device=microwave%26rating=-age=-%26temperature=-:name=none",,,"The facts
Microwaves are now a staple in many UK kitchens, not only used for convenience foods, they?re now also deemed more energy efficient than your oven as they cook food so much more quickly. 

What you can do
Have you thought about investing in a microwave? They?ll save you energy as they use significantly less than your conventional oven or hob.","new_microwave.swf","FALSE","Low","Consider investing in a microwave",,,,,"medium","medium",,"defra 2008",,
"kettle too full","appliances","FALSE","!/home/appliances/kitchen/generic:device=kettle%26rating=-%26age=-%26temperature=-:comment=1/4",,,"The facts
Kettles are one of the most used appliances in your kitchen, with the average family boiling theirs 4 times a day. And heating water uses a large amount of electricity, so if you?re boiling more than you need you?re wasting a lot of energy ? and money. 

What you can do 
When you?re using the kettle, only boil as much water as you actually need. If every UK household only boiled enough water for one cup of tea, instead of filling the kettle to the brim each time they wanted a single cuppa, we could save 670,000 tonnes of CO2 a year!","kettle","FALSE","Low","Only fill the kettle to the required level","%A37","%A3170 million a year nationwide","no","&lt;link&gt;&lt;linktext&gt;Check the Energy Saving Trust's simple tips for other ideas like this:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/cheap_and_simple_tips &lt;/linkurl&gt;&lt;/link&gt;","high","low",,"defra 2008",,
"no dishwasher","appliances","FALSE","!/home/appliances/kitchen/generic:device=Dishwasher%26age=1-2 years%26rating=Economy%26temperature=-:name=none",,,"The facts
It may come as a surprise to you, but using a dishwasher can actually be more energy efficient than doing the washing up by hand . If, for example, you do many small bowlfuls of washing up every day, then that can use more energy than running a dishwasher, provided it’s an energy efficient model and is fully loaded. Modern dishwashers can use as little as 15 litres of water to wash a full load of dishes - so you can save water too. 

What you can do
If you are thinking of buying a dishwasher, always look for the Energy Saving Recommended logo.  An ESR one can cost around £47 less to run over its lifetime than an average one.","new_dishwasher.swf","FALSE","Low","Consider investing in an A-rated dishwasher",,,,"&lt;link&gt;&lt;linktext&gt;Pay less for clean dishes.  Find an Energy Saving Recommended dishwasher:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/energy_saving_products/types_of_energy_saving_recommended_products/dishwashers &lt;/linkurl&gt;&lt;/link&gt;","high","low",,"defra 2008",,
"has dishwasher non eco","appliances","FALSE","/home/appliances/kitchen/generic:device=*Dishwasher*%26rating=Normal",,,"The facts
It may come as a surprise to you, but as you are already using a dishwasher, your CO2 emissions may be lower than another household that hand washes their dishes. A dishwasher can be more energy efficient than lots of bowls of hand-washing, if used in the right way. But there are still ways to make more savings...

What you can do 
Every time you use your dishwasher make sure that it’s fully-loaded, so that you’re not wasting energy on washing empty space. You should also try to use the more energy efficient economy settings or cooler wash cycles whenever possible. Finally, if you’re in the market for a new dishwasher, investing in an Energy Saving Recommended (ESR) appliance could save around 65kg of CO2 and %A323 in running costs per year.","temperature.swf","FALSE","Low","Fill your dishwasher up fully and use the economy setting more frequently","%A323",,,"&lt;link&gt;&lt;linktext&gt;Energy Saving Recommended products are the most efficient in their category, click here to find one:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/energy_saving_products&lt;/linkurl&gt;&lt;/link&gt;","medium","low",,"defra 2008",,
"bad washing machine","appliances","FALSE","/home/appliances/kitchen/generic:device=*ing machine*%26rating=B|C|D|E|F|G|Other",,,"The facts 
Keeping our clothes fresh and clean has become less of chore thanks to machines that clean our clothes and banish every stain going, but this can often come at a cost. The average household runs 274 cycles of laundry a year and as you have a washing machine with a B rating or below, you could start saving money and emissions if you made an upgrade to an A or A+ model. 

What you can do
By upgrading your machine to an Energy Saving Recommended (ESR) appliance you could save around 32kg of CO2 a year and, as a bonus, you’ll cut your water consumption too. To start reducing your washing machine’s CO2 emissions right now: make sure that you always use the more energy efficient economy settings; run shorter, cooler wash cycles whenever possible (with modern detergents 30°C is fine for most washes); and make sure that you do full loads every time you wash.","new_washing_machine.swf","FALSE","Low","Consider replacing your washing machine with a top rated/Energy Saving Recommended model","%A311",,,"&lt;link&gt;&lt;linktext&gt;Energy Saving Recommended washing machines use a third less energy:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/energy_saving_products/types_of_energy_saving_recommended_products/laundry_appliances &lt;/linkurl&gt;&lt;/link&gt;","high","low",,"defra 2008",,
