"manufacturer","line","engineSize","transmission","sizeClass","cylinders","driveSystem","indexNumber","mpgCity","mpgHighway","mpgCombined","unrndCityEPA","unrndHwyEPA","unrndCompEPA","fuelType","releaseDate","units","source","algorithm"
"HYUNDAI","TIBURON",2,"Manual(M5)","SUBCOMPACT CARS",4,"F",18,20,28,23,25.7,39.2,30.413,"regular gas","07/18/07",,"http://www.fueleconomy.gov",
"HYUNDAI","TUCSON 2WD",2,"Auto(L4)","S.U.V. - 2WD",4,"F",11,19,25,22,24.5,34.5,28.175,"regular gas","07/18/07",,"http://www.fueleconomy.gov",
"HYUNDAI","TUCSON 2WD",2,"Manual(M5)","S.U.V. - 2WD",4,"F",11,20,25,22,25.1,35.3,28.852,"regular gas","07/18/07",,"http://www.fueleconomy.gov",
"HYUNDAI","TUCSON 4WD",2,"Manual(M5)","S.U.V. - 4WD",4,4,12,19,24,21,24.1,33.3,27.522,"regular gas","07/18/07",,"http://www.fueleconomy.gov",
"JEEP","COMPASS 2WD",2,"Auto(AV)","S.U.V. - 2WD",4,"F",758,23,27,24,28.895,38,32.387,"regular gas","07/15/07",,"http://www.fueleconomy.gov",
"JEEP","PATRIOT 2WD",2,"Auto(AV)","S.U.V. - 2WD",4,"F",758,23,27,24,28.895,38,32.387,"regular gas","07/15/07",,"http://www.fueleconomy.gov",
"KIA","SPECTRA",2,"Auto(L4)","MIDSIZE CARS",4,"F",13,24,32,27,30.26,44.515,35.355,"regular gas","07/11/07",,"http://www.fueleconomy.gov",
"KIA","SPECTRA",2,"Manual(M5)","MIDSIZE CARS",4,"F",13,23,30,26,29.539,42.359,34.196,"regular gas","07/11/07",,"http://www.fueleconomy.gov",
"KIA","SPORTAGE 2WD",2,"Auto(L4)","S.U.V. - 2WD",4,"F",10,19,25,21,24.4,34.5,28.102,"regular gas","07/18/07",,"http://www.fueleconomy.gov",
"KIA","SPORTAGE 2WD",2,"Manual(M5)","S.U.V. - 2WD",4,"F",10,20,25,22,25.1,35.3,28.852,"regular gas","07/18/07",,"http://www.fueleconomy.gov",
"KIA","SPORTAGE 4WD",2,"Manual(M5)","S.U.V. - 4WD",4,4,10,19,24,21,24,33.4,27.48,"regular gas","07/18/07",,"http://www.fueleconomy.gov",
"MAZDA","MAZDA3",2,"Manual(M5)","COMPACT CARS",4,"F",4,24,32,27,31.12,45.04,36.147,"regular gas","06/19/07",,"http://www.fueleconomy.gov",
"MAZDA","MAZDA3",2,"Auto(S4)","COMPACT CARS",4,"F",4,23,31,26,28.714,43.027,33.769,"regular gas","06/19/07",,"http://www.fueleconomy.gov",
"MAZDA","MX-5",2,"Manual(M5)","TWO SEATERS",4,"R",3,22,27,24,27.4,38,31.333,"premium gas","06/08/07",,"http://www.fueleconomy.gov",
"MAZDA","MX-5",2,"Manual(M6)","TWO SEATERS",4,"R",3,21,28,24,27.011,38.521,31.207,"premium gas","06/08/07",,"http://www.fueleconomy.gov",
"MAZDA","MX-5",2,"Auto(S6)","TWO SEATERS",4,"R",3,20,27,23,24.826,38.412,29.525,"premium gas","06/08/07",,"http://www.fueleconomy.gov",
"MITSUBISHI","LANCER",2,"Auto(AV)","COMPACT CARS",4,"F",50,22,29,24,27.584,40,32.063,"regular gas","01/02/07",,"http://www.fueleconomy.gov",
"MITSUBISHI","LANCER",2,"Manual(M5)","COMPACT CARS",4,"F",50,21,29,24,27.222,39.99,31.789,"regular gas","01/02/07",,"http://www.fueleconomy.gov",
"NISSAN","SENTRA",2,"Auto(AV)","MIDSIZE CARS",4,"F",11,25,33,28,31.9,46.4,37.12,"regular gas","07/30/07",,"http://www.fueleconomy.gov",
"NISSAN","SENTRA",2,"Manual(M6)","MIDSIZE CARS",4,"F",11,24,31,27,31.4,43.2,35.801,"regular gas","07/30/07",,"http://www.fueleconomy.gov",
"PONTIAC","SOLSTICE",2,"Auto(L5)","TWO SEATERS",4,"R",19,19,26,21,23.25,36.9,27.893,"premium gas","06/13/07",,"http://www.fueleconomy.gov",
"PONTIAC","SOLSTICE",2,"Manual(M5)","TWO SEATERS",4,"R",20,19,28,22,24.2,39.6,29.333,"premium gas","06/13/07",,"http://www.fueleconomy.gov",
"SAAB","9-3 CONVERTIBLE",2,"Manual(M6)","SUBCOMPACT CARS",4,"F",76,18,27,22,23.1,38.3,28.122,"premium gas","08/20/07",,"http://www.fueleconomy.gov",
"SAAB","9-3 SPORT SEDAN",2,"Manual(M6)","COMPACT CARS",4,"F",76,19,29,23,24.5,40,29.675,"premium gas","08/20/07",,"http://www.fueleconomy.gov",
"SAAB","9-3 SPORTCOMBI",2,"Manual(M6)","SMALL STATION WAGONS",4,"F",76,19,29,23,24.5,40,29.675,"premium gas","08/20/07",,"http://www.fueleconomy.gov",
"SATURN","SKY",2,"Auto(L5)","TWO SEATERS",4,"R",19,19,26,21,23.25,36.9,27.893,"premium gas","06/13/07",,"http://www.fueleconomy.gov",
"SATURN","SKY",2,"Manual(M5)","TWO SEATERS",4,"R",20,19,28,22,24.2,39.6,29.333,"premium gas","06/13/07",,"http://www.fueleconomy.gov",
"SUZUKI","FORENZA",2,"Auto(A4)","COMPACT CARS",4,"F",3,19,28,22,23.9,39.2,28.992,"regular gas","07/01/07",,"http://www.fueleconomy.gov",
"SUZUKI","FORENZA",2,"Manual(M5)","COMPACT CARS",4,"F",3,20,28,23,25.4,39.1,30.155,"regular gas","07/01/07",,"http://www.fueleconomy.gov",
"SUZUKI","FORENZA WAGON",2,"Auto(A4)","SMALL STATION WAGONS",4,"F",4,19,27,22,23.4,38.3,28.366,"regular gas","07/01/07",,"http://www.fueleconomy.gov",
"SUZUKI","FORENZA WAGON",2,"Manual(M5)","SMALL STATION WAGONS",4,"F",4,19,27,22,24.3,38.3,29.084,"regular gas","07/01/07",,"http://www.fueleconomy.gov",
"SUZUKI","RENO",2,"Auto(A4)","COMPACT CARS",4,"F",3,19,28,22,23.9,39.2,28.992,"regular gas","07/01/07",,"http://www.fueleconomy.gov",
"SUZUKI","RENO",2,"Manual(M5)","COMPACT CARS",4,"F",3,20,28,23,25.4,39.1,30.155,"regular gas","07/01/07",,"http://www.fueleconomy.gov",
"SUZUKI","SX4",2,"Auto(L4)","SMALL STATION WAGONS",4,"F",52,22,30,25,28.4,41.7,33.159,"regular gas","03/12/07",,"http://www.fueleconomy.gov",
"SUZUKI","SX4",2,"Manual(M5)","SMALL STATION WAGONS",4,"F",51,22,30,25,27.991,41.588,32.82,"regular gas","09/01/07",,"http://www.fueleconomy.gov",
"SUZUKI","SX4 AWD",2,"Auto(L4)","SMALL STATION WAGONS",4,4,56,21,28,24,26.532,39,30.99,"regular gas","03/12/07",,"http://www.fueleconomy.gov",
"SUZUKI","SX4 AWD",2,"Manual(M5)","SMALL STATION WAGONS",4,4,55,21,28,23,26.3,38.8,30.759,"regular gas","09/01/07",,"http://www.fueleconomy.gov",
"SUZUKI","SX4 SEDAN",2,"Auto(L4)","COMPACT CARS",4,"F",54,23,31,26,29.2,42.9,34.1,"regular gas","03/12/07",,"http://www.fueleconomy.gov",
"SUZUKI","SX4 SEDAN",2,"Manual(M5)","COMPACT CARS",4,"F",53,22,30,25,28.5,42.3,33.404,"regular gas","09/01/07",,"http://www.fueleconomy.gov",
"VOLKSWAGEN","EOS",2,"Manual(M6)","SUBCOMPACT CARS",4,"F",2,21,29,24,26.014,40.928,31.116,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"VOLKSWAGEN","EOS",2,"Auto(S6)","SUBCOMPACT CARS",4,"F",5,21,30,24,26.9,41.7,32.013,"premium gas","01/15/07",,"http://www.fueleconomy.gov",
"VOLKSWAGEN","GTI",2,"Manual(M6)","COMPACT CARS",4,"F",2,21,29,24,26.014,40.928,31.116,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"VOLKSWAGEN","GTI",2,"Auto(S6)","COMPACT CARS",4,"F",5,22,29,25,28.11,40.409,32.571,"premium gas","01/15/07",,"http://www.fueleconomy.gov",
"VOLKSWAGEN","JETTA",2,"Manual(M6)","COMPACT CARS",4,"F",2,21,29,24,26.014,40.928,31.116,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"VOLKSWAGEN","JETTA",2,"Auto(S6)","COMPACT CARS",4,"F",5,22,29,25,28.11,40.409,32.571,"premium gas","01/15/07",,"http://www.fueleconomy.gov",
"VOLKSWAGEN","PASSAT",2,"Manual(M6)","MIDSIZE CARS",4,"F",2,21,29,24,26.014,40.928,31.116,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"VOLKSWAGEN","PASSAT",2,"Auto(S6)","MIDSIZE CARS",4,"F",4,19,28,22,24.3,39.2,29.314,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"VOLKSWAGEN","PASSAT WAGON",2,"Manual(M6)","MIDSIZE STATION WAGONS",4,"F",2,21,29,24,26.014,40.928,31.116,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"VOLKSWAGEN","PASSAT WAGON",2,"Auto(S6)","MIDSIZE STATION WAGONS",4,"F",4,20,28,23,24.8,39.2,29.712,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"CHEVROLET","CLASSIC",2.2,"Auto(L4)","MIDSIZE CARS",4,"F",37,21,31,25,27.1,43.6,32.662,"regular gas","06/15/07",,"http://www.fueleconomy.gov",
"CHEVROLET","COBALT",2.2,"Auto(L4)","SUBCOMPACT CARS",4,"F",57,22,31,26,28.5,43.4,33.708,"regular gas","07/30/07",,"http://www.fueleconomy.gov",
"CHEVROLET","COBALT",2.2,"Manual(M5)","SUBCOMPACT CARS",4,"F",58,24,33,27,30.4,46.3,35.957,"regular gas","07/31/07",,"http://www.fueleconomy.gov",
"CHEVROLET","HHR FWD",2.2,"Auto(L4)","S.U.V. - 2WD",4,"F",42,22,30,25,27.592,42.096,32.655,"regular gas","06/15/07",,"http://www.fueleconomy.gov",
"CHEVROLET","HHR FWD",2.2,"Manual(M5)","S.U.V. - 2WD",4,"F",43,21,30,24,26,41.8,31.329,"regular gas","06/15/07",,"http://www.fueleconomy.gov",
"CHEVROLET","HHR PANEL FWD",2.2,"Auto(L4)","S.U.V. - 2WD",4,"F",46,22,30,25,27.8,42.2,32.843,"regular gas","06/15/07",,"http://www.fueleconomy.gov",
"CHEVROLET","HHR PANEL FWD",2.2,"Manual(M5)","S.U.V. - 2WD",4,"F",47,20,30,24,25.9,41.6,31.199,"regular gas","06/15/07",,"http://www.fueleconomy.gov",
"HONDA","S2000",2.2,"Manual(M6)","TWO SEATERS",4,"R",6,18,25,21,22.2,33.1,26.062,"premium gas","09/17/07",,"http://www.fueleconomy.gov",
"PONTIAC","G5/PURSUIT",2.2,"Auto(L4)","SUBCOMPACT CARS",4,"F",57,22,31,26,28.5,43.4,33.708,"regular gas","07/30/07",,"http://www.fueleconomy.gov",
"PONTIAC","G5/PURSUIT",2.2,"Manual(M5)","SUBCOMPACT CARS",4,"F",58,24,33,27,30.4,46.3,35.957,"regular gas","07/31/07",,"http://www.fueleconomy.gov",
"ACURA","RDX 4WD",2.3,"Auto(S5)","S.U.V. - 4WD",4,4,16,17,22,19,20.9,29.9,24.175,"premium gas","07/19/07",,"http://www.fueleconomy.gov",
"FORD","ESCAPE 4WD",2.3,"Auto(L4)","S.U.V. - 4WD",4,4,601,19,24,21,23.896,32.746,27.205,"regular gas","01/08/07",,"http://www.fueleconomy.gov",
"FORD","ESCAPE FWD",2.3,"Auto(L4)","S.U.V. - 2WD",4,"F",600,20,26,22,25.4,35.9,29.25,"regular gas","01/08/07",,"http://www.fueleconomy.gov",
"FORD","ESCAPE FWD",2.3,"Manual(M5)","S.U.V. - 2WD",4,"F",602,22,28,24,27.7,39.2,31.913,"regular gas","01/08/07",,"http://www.fueleconomy.gov",
"FORD","ESCAPE HYBRID 4WD",2.3,"Auto(AV)","S.U.V. - 4WD",4,4,607,29,27,28,38.4,38,38.219,"regular gas","01/08/07",,"http://www.fueleconomy.gov",
"FORD","ESCAPE HYBRID FWD",2.3,"Auto(AV)","S.U.V. - 2WD",4,"F",605,34,30,32,45.6,41.6,43.709,"regular gas","01/08/07",,"http://www.fueleconomy.gov",
"FORD","FUSION FWD",2.3,"Auto(L5)","MIDSIZE CARS",4,"F",160,20,28,23,25.721,39.727,30.571,"regular gas","07/16/07",,"http://www.fueleconomy.gov",
"FORD","FUSION FWD",2.3,"Manual(M5)","MIDSIZE CARS",4,"F",161,20,29,23,25.8,40.3,30.784,"regular gas","07/16/07",,"http://www.fueleconomy.gov",
"FORD","RANGER 2WD",2.3,"Auto(L5)","SMALL PICKUP TRUCKS 2WD",4,"R",900,19,24,21,23.25,32.95,26.8,"regular gas","06/04/07",,"http://www.fueleconomy.gov",
"FORD","RANGER 2WD",2.3,"Manual(M5)","SMALL PICKUP TRUCKS 2WD",4,"R",902,21,26,23,26.5,36.8,30.319,"regular gas","06/04/07",,"http://www.fueleconomy.gov",
"LINCOLN-MERCURY","MILAN FWD",2.3,"Auto(L5)","MIDSIZE CARS",4,"F",170,20,28,23,25.721,39.727,30.571,"regular gas","07/16/07",,"http://www.fueleconomy.gov",
"LINCOLN-MERCURY","MILAN FWD",2.3,"Manual(M5)","MIDSIZE CARS",4,"F",171,20,29,23,25.8,40.3,30.784,"regular gas","07/16/07",,"http://www.fueleconomy.gov",
"MAZDA","B2300 2WD",2.3,"Auto(L5)","SMALL PICKUP TRUCKS 2WD",4,"R",960,19,24,21,23.25,32.95,26.8,"regular gas","06/04/07",,"http://www.fueleconomy.gov",
"MAZDA","B2300 2WD",2.3,"Manual(M5)","SMALL PICKUP TRUCKS 2WD",4,"R",962,21,26,23,26.5,36.8,30.319,"regular gas","06/04/07",,"http://www.fueleconomy.gov",
"MAZDA","CX-7 2WD",2.3,"Auto(S6)","S.U.V. - 2WD",4,"F",1,17,23,19,21.1,31.899,24.892,"premium gas","08/01/07",,"http://www.fueleconomy.gov",
"MAZDA","CX-7 4WD",2.3,"Auto(S6)","S.U.V. - 4WD",4,4,1,16,22,18,20.5,30.3,23.992,"premium gas","08/01/07",,"http://www.fueleconomy.gov",
"MAZDA","MAZDA 6",2.3,"Manual(M5)","MIDSIZE CARS",4,"F",7,21,29,24,25.976,40.245,30.907,"regular gas","07/05/07",,"http://www.fueleconomy.gov",
"MAZDA","MAZDA 6",2.3,"Auto(S5)","MIDSIZE CARS",4,"F",7,21,28,24,26.263,39.357,30.887,"regular gas","07/05/07",,"http://www.fueleconomy.gov",
"MAZDA","MAZDA3",2.3,"Manual(M5)","COMPACT CARS",4,"F",5,22,29,25,28.317,41.196,32.953,"regular gas","06/19/07",,"http://www.fueleconomy.gov",
"MAZDA","MAZDA3",2.3,"Auto(S5)","COMPACT CARS",4,"F",5,22,29,24,27.713,40.048,32.172,"regular gas","06/19/07",,"http://www.fueleconomy.gov",
"MAZDA","MAZDASPEED3",2.3,"Manual(M6)","MIDSIZE CARS",4,"F",6,18,26,20,22.1,35.594,26.646,"premium gas","07/04/07",,"http://www.fueleconomy.gov",
"MAZDA","TRIBUTE 4WD",2.3,"Auto(L4)","S.U.V. - 4WD",4,4,951,19,24,21,23.896,32.746,27.205,"regular gas","01/08/07",,"http://www.fueleconomy.gov",
"MAZDA","TRIBUTE FWD",2.3,"Auto(L4)","S.U.V. - 2WD",4,"F",952,20,26,22,25.4,35.9,29.25,"regular gas","01/08/07",,"http://www.fueleconomy.gov",
"MAZDA","TRIBUTE FWD",2.3,"Manual(M5)","S.U.V. - 2WD",4,"F",950,22,28,24,27.7,39.2,31.913,"regular gas","01/08/07",,"http://www.fueleconomy.gov",
"MAZDA","TRIBUTE HYBRID 2WD",2.3,"Auto(AV)","S.U.V. - 2WD",4,"F",957,34,30,32,45.6,41.6,43.709,"regular gas","01/08/07",,"http://www.fueleconomy.gov",
"MAZDA","TRIBUTE HYBRID 4WD",2.3,"Auto(AV)","S.U.V. - 4WD",4,4,959,29,27,28,38.4,38,38.219,"regular gas","01/08/07",,"http://www.fueleconomy.gov",
"MERCURY","MARINER 4WD",2.3,"Auto(L4)","S.U.V. - 4WD",4,4,609,19,24,21,23.896,32.746,27.205,"regular gas","01/08/07",,"http://www.fueleconomy.gov",
"MERCURY","MARINER FWD",2.3,"Auto(L4)","S.U.V. - 2WD",4,"F",608,20,26,22,25.4,35.9,29.25,"regular gas","01/08/07",,"http://www.fueleconomy.gov",
"MERCURY","MARINER HYBRID 4WD",2.3,"Auto(AV)","S.U.V. - 4WD",4,4,615,29,27,28,38.4,38,38.219,"regular gas","01/08/07",,"http://www.fueleconomy.gov",
"MERCURY","MARINER HYBRID FWD",2.3,"Auto(AV)","S.U.V. - 2WD",4,"F",614,34,30,32,45.6,41.6,43.709,"regular gas","01/08/07",,"http://www.fueleconomy.gov",
"SAAB","9-5 SEDAN",2.3,"Manual(M5)","MIDSIZE CARS",4,"F",72,18,28,21,22.6,38.7,27.805,"premium gas","08/17/07",,"http://www.fueleconomy.gov",
"SAAB","9-5 SEDAN",2.3,"Auto(S5)","MIDSIZE CARS",4,"F",71,17,26,20,21.114,36.831,26.132,"premium gas","08/14/07",,"http://www.fueleconomy.gov",
"SAAB","9-5 SPORTCOMBI",2.3,"Manual(M5)","MIDSIZE STATION WAGONS",4,"F",72,18,28,21,22.6,38.7,27.805,"premium gas","08/17/07",,"http://www.fueleconomy.gov",
